original_title,original_artist,spotify_title,spotify_artist,album,release_date,popularity,duration_ms,explicit,album_cover,genres
Suffer,Hoods,Suffer,Hoods,Endless Pain,1999-06-15,1,165024,True,https://i.scdn.co/image/ab67616d0000b273c565acc8d8c1b264fd442b7e,"['beatdown', 'hardcore', 'straight edge']"
If You Don't Pray For Me,5 Blind Boys Of Alabama,If You Don't Pray For Me,The Blind Boys Of Alabama,Collectors Edition: 5 Blind Boys Of Alabama,2006-08-24,0,173639,False,https://i.scdn.co/image/ab67616d0000b273894cd648b471feb12069fc4e,['gospel singers']
Pure Hatred,The Berzerker,Pure Hatred,The Berzerker,Dissimulate,2002,6,84200,False,https://i.scdn.co/image/ab67616d0000b2730430f349966811b25627922e,"['australian metal', 'cybergrind', 'deathgrind']"
Sietämätön mies,Juice Leskinen,Sietämätön mies,Juice Leskinen,Sietämätön mies,1992-01-01,4,208906,False,https://i.scdn.co/image/ab67616d0000b2730ce36fa91c7daa6401541c70,"['classic finnish rock', 'classic iskelma', 'suomi rock']"
Busted,Natalie Cole,Busted,Natalie Cole,Still Unforgettable (Expanded Edition),2008,4,236186,False,https://i.scdn.co/image/ab67616d0000b2734f3e48b50a4b187dc4c96e8a,"['adult standards', 'disco', 'quiet storm', 'soft rock', 'soul', 'vocal jazz']"
A Movie Of A Placid Lake On A Moonless Night In September - Reprise,Will Ackerman,A Movie Of A Placid Lake On A Moonless Night In September - Reprise,Will Ackerman,The Opening Of Doors,1992-05-12,3,194200,False,https://i.scdn.co/image/ab67616d0000b2739d1b1795250053eebbe3ee4c,"['fingerstyle', 'new age']"
Pushbike Song,Mungo Jerry,Pushbike Song,Mungo Jerry,The Deluxe Collection: Mungo Jerry,2013-12-08,12,153013,False,https://i.scdn.co/image/ab67616d0000b273be2cb1772569be64835e6078,"['british blues', 'classic uk pop']"
To Be In Love,The Villas,To Be In Love,The Villas,Set For Life,2003-07-08,0,179467,False,https://i.scdn.co/image/ab67616d0000b2735a264f4d4ef0ac8f7dd375a9,
You Live_ You Die,Devanic,"You Live, You Die",Devanic,Mask Industries,2008-06-26,0,210880,False,https://i.scdn.co/image/ab67616d0000b27344782050ce544b5e21e1aac6,
An Plas'ay,Patrick Saint-Eloi,An plas ay,Patrick Saint-Eloi,Zoukolexion Vol. 2,2008,5,319666,False,https://i.scdn.co/image/ab67616d0000b27375f285f1496f6b3ba90d2b8e,"['musique guadeloupe', 'zouk', 'zouk riddim']"
Letter from Home,Pat Metheny,Letter From Home,Pat Metheny Group,Letter from Home,1989,38,153693,False,https://i.scdn.co/image/ab67616d0000b273ebfd80f6aea8c3a6ee21d050,"['contemporary post-bop', 'ecm-style jazz', 'jazz', 'jazz fusion']"
Out Deh,Gregory Isaacs,Out Deh,Gregory Isaacs,Out Deh!,1983-01-01,17,224440,False,https://i.scdn.co/image/ab67616d0000b2730cb60bcea348b3415dcfafc5,"['lovers rock', 'reggae', 'roots reggae']"
Cierro Mis Ojos,Raphael,Cierro mis ojos,Raphael,Digan Lo Que Digan: Banda Sonora Original De La Pe,1967-12-30,48,213413,False,https://i.scdn.co/image/ab67616d0000b2739f4d22d79b6ad54bcfdee79a,
Rollin' And Tumblin',Jimmy Burns,Rollin' And Tumblin',Jimmy Burns,Leaving Here Walking,1996-01-01,1,264506,False,https://i.scdn.co/image/ab67616d0000b273b79fd4d89886fc285af44e86,"['northern soul', 'soul blues']"
Fuego De Noche_ Nieve De Día,Ricky Martin,"Fuego de Noche, Nieve de Día",Ricky Martin,A Medio Vivir,1995-09-12,55,335773,False,https://i.scdn.co/image/ab67616d0000b2733116fe38544a143f10f5e489,"['latin pop', 'mexican pop', 'puerto rican pop']"
Process to decelerate,Inhume,Process to decelerate,Inhume,In for the kill,2003,2,126160,False,https://i.scdn.co/image/ab67616d0000b273bf9631fdf7f3400bef2312ea,"['deathgrind', 'dutch death metal', 'goregrind', 'grindcore']"
Fake Plastic Trees ,Radiohead,Fake Plastic Trees,Radiohead,The Bends,1995-03-13,73,290706,False,https://i.scdn.co/image/ab67616d0000b2739293c743fa542094336c5e12,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']"
Bourrèe,Chet Atkins,Bourree,Chet Atkins,The Essential Chet Atkins - The Columbia Years,1983,14,232533,False,https://i.scdn.co/image/ab67616d0000b2730ce2c701922e446f869e0d55,['nashville sound']
Your Broken Heart,The Stolen Minks,Your Broken Heart,The Stolen Minks,High Kicks,2008,0,233453,False,https://i.scdn.co/image/ab67616d0000b273db35be668558032c95211ebb,['halifax indie']
Quiero,Carlos Ponce,Quiero Mas,Carlos Ponce,Carlos Ponce,1998-01-01,5,265760,False,https://i.scdn.co/image/ab67616d0000b273096be2cc5c7e64e9f4576bb6,"['latin pop', 'puerto rican pop']"
Ice Or Fire,Bob Margolin,Ice Or Fire,Bob Margolin,Hold Me To It,1999-09-28,0,227000,False,https://i.scdn.co/image/ab67616d0000b273675c2c781f9b0714232d041b,"['acoustic blues', 'blues', 'electric blues', 'modern blues', 'power blues-rock']"
Righteous Disgrace,Don Francisco,Righteous Disgrace,Don Francisco,Vision Of The Valley,1991-01-01,1,185400,False,https://i.scdn.co/image/ab67616d0000b2730c95de6369c0727c6f45f9cd,['jesus movement']
Parabolics Studies 8,Henri Pousseur,Parabolics Studies 8,Henri Pousseur,Eight Parabolic Studies,2007-08-01,0,1281186,False,https://i.scdn.co/image/ab67616d0000b273405ef02170093f568e7db326,"['acousmatic', 'belgian contemporary classical', 'belgian experimental', 'musique concrete', 'serialism']"
Not A Kid Anymore,Marco Beltrami,Not A Kid Anymore,Marco Beltrami,Knowing (Original Motion Picture Soundtrack / Deluxe Edition),2021-09-28,1,115146,False,https://i.scdn.co/image/ab67616d0000b273273d3ad3fa8c2d8a23ea8cc4,"['orchestral soundtrack', 'soundtrack']"
Don't let go,Pacha Massive,Don't let go,Pacha Massive,Hôtel Costes 11,2006,24,205906,False,https://i.scdn.co/image/ab67616d0000b273afbe092af62a6a7349b85102,['electro jazz']
Find Me At the Greasy Spoon,Grant And Wilson,Find Me at the Greasy Spoon (If You Miss Me Here) - Take 1,Louis Armstrong,The Paramount Recordings 1923-1925,2019-08-01,1,183800,False,https://i.scdn.co/image/ab67616d0000b27397007bee635aea9d7bb39ebd,"['adult standards', 'dixieland', 'harlem renaissance', 'jazz trumpet', 'lounge', 'new orleans jazz', 'soul', 'swing', 'vocal jazz']"
Alligator Come Across ,Jets,Alligator Come Across - Live,The Jets,Pure Cotton,2010-01-25,0,261000,False,https://i.scdn.co/image/ab67616d0000b273f0c043ce2088c39e0269b1e6,"['freestyle', 'minneapolis sound']"
Things Could Turn Around,fIREHOSE,Things Could Turn Around,fIREHOSE,"Ragin', Full-On",1986-01-01,11,190506,True,https://i.scdn.co/image/ab67616d0000b27390617e80c59d30d8382aad17,"['gbvfi', 'post-hardcore']"
Dark As A Dungeon ,The Tarriers,Dark as a Dungeon,The Tarriers,Tell The World About This,1960,0,246493,False,https://i.scdn.co/image/ab67616d0000b2734b7799ebf708b9db35988c5e,['american folk revival']
Festival Resurrection ,Festival,Festival Resurrection (Intro),Festival,Resurrection,1998,0,269480,False,https://i.scdn.co/image/ab67616d0000b2739417fea0c4efb0cd60bbf547,['fussball']
Why Jack Called,Christophe Beck,Why Jack Called,Christophe Beck,We Are Marshall (Original Motion Picture Score),2006-01-01,1,150040,False,https://i.scdn.co/image/ab67616d0000b273faddc06a12cc5f9b760d0de5,"['canadian soundtrack', 'soundtrack']"
Tus Viejas Cartas,Nicho Hinojosa,Tus Viejas Cartas,Nicho Hinojosa,Nicho... En El Bar 2,2001-07-03,30,188360,False,https://i.scdn.co/image/ab67616d0000b273d76f59c07ad8b344fb0aab40,"['latin pop', 'rock en espanol', 'trova']"
Be Like That,3 Doors Down,Be Like That,3 Doors Down,The Better Life,2000,59,265906,False,https://i.scdn.co/image/ab67616d0000b2732868c4713a3912fd476b42f1,"['alternative metal', 'nu metal', 'post-grunge', 'rock']"
Thanks A Lot,Martina McBride,Thanks A Lot,Martina McBride,Timeless,2005-10-17,3,155973,False,https://i.scdn.co/image/ab67616d0000b2731a23c1d418bda3b40d6bf61b,"['contemporary country', 'country', 'country dawn', 'country road']"
Herval na percaria,Amanajé,Herval na percaria,Amanajé,Amanajé,2004,0,283626,False,https://i.scdn.co/image/ab67616d0000b273fbc14fa474c43d148f486c89,
Drive,Pacha Massive,Drive,Pacha Massive,All Good Things,2007-02-20,3,300920,False,https://i.scdn.co/image/ab67616d0000b2731fc53f23696b3508dabc02f7,['electro jazz']
My Heart Goes Up,Keira Green,My Heart Goes Up,Lost Boys from Ibiza,My Heart Goes Up,2024-12-20,20,124750,False,https://i.scdn.co/image/ab67616d0000b273516a5939fcd14a799f049bb8,
Esta Muy Claro,Jaguares,Está Muy Claro,Jaguares,Cronicas De Un Laberinto,2005-05-20,14,308373,False,https://i.scdn.co/image/ab67616d0000b2734c882613a58ff989235b9697,"['latin alternative', 'latin pop', 'latin rock', 'mexican rock', 'rock en espanol']"
Un nuovo giorno,Cali,Un Nuovo Giorno,Cali,L'odio Del Mondo Rese L'uomo Schiavo Dell'amore,2010-03-11,0,159080,True,https://i.scdn.co/image/ab67616d0000b273125fda66219fc3fb0cf3a5bc,['italian underground hip hop']
Ek Pegh,Kuldeep Paras,Ek Pegh,Kuldeep Paras,Barsat,2002,0,301800,False,https://i.scdn.co/image/ab67616d0000b273e2f263cdc6278a1e0caf3be3,
O Raaje,Sukhwinder Singh,"O Raaje (From ""Mee Shivajiraje Bhosale Boltoy"")",Sukhwinder Singh,"O Raaje (From ""Mee Shivajiraje Bhosale Boltoy"")",2023-08-16,42,342815,False,https://i.scdn.co/image/ab67616d0000b273591ddec9be8687d2f5f654f8,"['filmi', 'modern bollywood']"
Consume ,Sick Of It All,Consume,Sick Of It All,Scratch the Surface,1994-09-27,22,223706,False,https://i.scdn.co/image/ab67616d0000b27388ffb22711cf4a1332fa19b3,"['crossover thrash', 'hardcore', 'nyhc', 'punk']"
Granada,Ramón Vargas,Granada - En Vivo,Angel Rodriguez,Grandes Arreglos Orquestales (Live),2024-01-30,0,340393,False,https://i.scdn.co/image/ab67616d0000b2733f5016bc9ddbf97434eee1d2,
Celebration [Felguk Love Remix],Madonna,Celebration - Felguk Love Remix,Madonna,Revolver,2009-12-25,8,398146,False,https://i.scdn.co/image/ab67616d0000b273eb6f49c6eea56c41f385ed5f,"['dance pop', 'pop']"
Fade Away,Cama,Fade Away,Cama,Fade Away,2009-04-16,0,226853,False,https://i.scdn.co/image/ab67616d0000b2733d0cb9895dca06c8c3d78b4f,
Xoanina,Susana Seivane,Xoaniña,Susana Seivane,Alma De Buxo,2001-07-26,3,180706,False,https://i.scdn.co/image/ab67616d0000b273f9f4db732d4a2272ac9c86ff,"['gaita', 'galician folk', 'spanish folk']"
Fefita,Orquesta Aragon,Fefita,Orquesta Aragón,Danzones De Ayer Y De Hoy (Vol. 2),1958-01-01,0,254400,False,https://i.scdn.co/image/ab67616d0000b27372c3ef6b14a42ee9316ac61b,"['bolero cubano', 'cha-cha-cha', 'charanga', 'danzon', 'latin jazz', 'mambo', 'musica tradicional cubana', 'salsa', 'son cubano clasico']"
She Can't Burn Me Now,The Del McCoury Band,She Can't Burn Me Now,The Del McCoury Band,The Company We Keep,2007-10-30,2,235652,False,https://i.scdn.co/image/ab67616d0000b27373e064fb36219dafffc22e15,"['bluegrass', 'jam band', 'progressive bluegrass']"
Soki Olingi Ngai,Wendo Kolosoy,Soki olingi ngai,Wendo Kolosoy,Marie Louise,1999-01-01,4,306200,False,https://i.scdn.co/image/ab67616d0000b273435c81ba39a410b2a07530dd,['soukous']
The Special Two ,Missy Higgins,The Special Two,Missy Higgins,The Sound of White,2004-09-21,29,267653,False,https://i.scdn.co/image/ab67616d0000b273fc29bd77a9804c353f3ba45c,"['australian indie', 'australian pop']"
Colin Tries Standing,Zbigniew Preisner,Colin Tries Standing,Zbigniew Preisner,The Secret Garden (Original Motion Picture Soundtrack),1993-01-01,18,53400,False,https://i.scdn.co/image/ab67616d0000b27301a4a438e802801ad0483c3a,['polish contemporary classical']
Memory In The Snow,Michael Gettel,Memory In The Snow,Michael Gettel,Places In Time,1992-01-01,7,221866,False,https://i.scdn.co/image/ab67616d0000b27398d5090fc882ceb30229f963,"['new age', 'new age piano']"
Nomads Alive,Marco Beltrami,Nomad's Alive,Marco Beltrami,Flight Of The Phoenix (Original Motion Picture Soundtrack),2004-01-01,0,201573,False,https://i.scdn.co/image/ab67616d0000b273276eaf80db44dceb12193795,"['orchestral soundtrack', 'soundtrack']"
Il Tempo Non Torna Più,Kati,Il Tempo Non Torna Più,Kati,Fiorella Mannoia A Tribute,2001-01-01,0,260867,False,https://i.scdn.co/image/ab67616d0000b2730fd9248520831d59ee8eeb0f,
O Brother,Monty Are I,O Brother,Monty Are I,Wall Of People,2006-01-01,4,279200,False,https://i.scdn.co/image/ab67616d0000b273d6609a840f055a465dddff11,['rhode island indie']
The Only Road ,Dropkick Murphys,The Only Road,Dropkick Murphys,The Gang's All Here,1999-03-09,14,131773,False,https://i.scdn.co/image/ab67616d0000b273c48d268aa2aeb877ecdc343e,"['boston punk', 'boston rock', 'celtic punk', 'celtic rock', 'punk']"
Jimmie's Travellin' Blues,Jimmie Davis,Jimmie's Travellin' Blues,Jimmie Davis,You Are My Sunshine,2016-01-29,0,178494,False,https://i.scdn.co/image/ab67616d0000b273ebffa93094a6bbb251223773,"['country gospel', 'traditional country', 'western swing']"
Likua,Cabas,Likua,Cabas,Puro Cabas,2005-06-15,3,256079,False,https://i.scdn.co/image/ab67616d0000b273d3235a159697b655dd9411b0,"['colombian pop', 'latin pop', 'reggaeton colombiano']"
The Dropsonde,Caspian,The Dropsonde,Caspian,The Four Trees,2007,7,125066,False,https://i.scdn.co/image/ab67616d0000b273dac53e6372e7722748ebd110,"['american post-rock', 'boston rock', 'instrumental post-rock', 'post-rock']"
My Fault ,Faces,My Fault,Faces,Ooh La La,1973,33,187186,False,https://i.scdn.co/image/ab67616d0000b273416f18056ac5d7281d8a5878,"['blues rock', 'classic rock', 'country rock', 'folk rock', 'glam rock', 'protopunk', 'psychedelic rock', 'roots rock', 'singer-songwriter']"
Asha,Asha Puthli,Asha’s Kiss (feat. Asha Puthli),Raveena,Asha’s Awakening,2022-02-11,25,378306,False,https://i.scdn.co/image/ab67616d0000b273d5d3421fa3d280bee4ea97ac,"['alternative r&b', 'indie soul']"
Cent Mille Guitares,Line Renaud,Cent mille guitares - Remasterisé en 2013,Line Renaud,C'qu'on est bien (Remasterisé en 2013),2018-12-14,0,159773,False,https://i.scdn.co/image/ab67616d0000b273c98ac548baa11e89f68da344,"['vintage chanson', 'ye ye']"
What You Waiting For?,Gwen Stefani,What You Waiting For?,Gwen Stefani,Love. Angel. Music. Baby.,2004-11-12,63,221226,False,https://i.scdn.co/image/ab67616d0000b273f049fc9322f0c93646cdcc77,"['dance pop', 'pop']"
Forever Tonite,Thirst,Forever Tonite,Thirst,Thirst,2004-02-06,0,284766,False,https://i.scdn.co/image/ab67616d0000b2736ad119713f7bab37eb8a8e7a,
Amor Maldito,Bambino_ Ivan Tirado,Amor Maldito - Live!,Bambino,La Nueva Corporacion Latina (Live),1980,0,374935,False,https://i.scdn.co/image/ab67616d0000b2737c84ab9cac6fd4395137b0db,
Baby U Acting Greezy ,Blingtones,"Baby U Acting Greezy - Ringtone, Sonnerie",Blingtones,Top 50 Hip Hop Sonneries Vol. 2,2009-12-22,0,29126,False,https://i.scdn.co/image/ab67616d0000b27310c3c78dc29e0fe6518e0a95,['ringtone']
Don't Stop Dan,Checkers,Don't Stop Dan,The Checkers,Greatest Hits,2010-11-09,0,173013,False,https://i.scdn.co/image/ab67616d0000b273c87021fc2c979cebe69a93ae,
Finale: When Love Is Found/It Feels Like Christmas,Tiny Tim/Cast/Ghost Of Christmas Present/Scrooge,Finale – When Love Is Found/It Feels Like Christmas,Ghost of Christmas Present,The Muppets Christmas Carol,2005-01-01,38,241493,False,https://i.scdn.co/image/ab67616d0000b27322344edc74789f8aec99cf66,['christmas product']
Quiero,Juana Molina,Quiero - Remastered,Juana Molina,Segundo (Remastered),2021-06-04,19,159781,False,https://i.scdn.co/image/ab67616d0000b27377994f11c951ef57fe36b727,"['argentine indie', 'electronica argentina', 'experimental pop', 'folktronica']"
Den Thelo Tipota,Natassa Theodoridou,Den Thelo Tipota,Natasa Theodoridou,Dipla Se Sena,2009-03-05,18,233386,False,https://i.scdn.co/image/ab67616d0000b27354205ed64d545ec5191107fd,"['entehno', 'greek pop', 'laiko']"
Servin' Tha Fiends,Bone Thugs-N-Harmony,Servin' Tha Fiends,Bone Thugs-N-Harmony,BTNHRESURRECTION,2000-02-29,19,232200,True,https://i.scdn.co/image/ab67616d0000b273a8816025f91ebf4ce5d05b83,"['gangster rap', 'hip hop', 'ohio hip hop', 'rap']"
Thank You,Jimmy Page / Robert Plant,Thank You,Jimmy Page,No Quarter,1994-01-01,36,348066,False,https://i.scdn.co/image/ab67616d0000b27399782a327dbfe1b2842c6288,"['album rock', 'art rock', 'blues rock', 'british blues', 'classic rock', 'electric blues', 'hard rock', 'progressive rock']"
Broken Boy Soldier ,The Raconteurs,Broken Boy Soldier,The Raconteurs,Broken Boy Soldiers,2006-05-15,39,182226,False,https://i.scdn.co/image/ab67616d0000b273aaafcdc8e35209dc99554017,"['alternative rock', 'garage rock', 'garage rock revival', 'indie rock', 'modern blues rock', 'modern rock', 'rock', 'supergroup']"
My Baby Don't Wear No Shoes,Roy Carrier,My Baby Don't Wear No Shoes (3),Roy Carrier,It's a DC Thing (Choose Your Shoes),2020-08-01,0,275813,False,https://i.scdn.co/image/ab67616d0000b273157c73a4a5d45c8cfdcfe8f2,['zydeco']
You Put a Spell on Me,Dave Graney & Clare Moore,You Put a Spell on Me,Dave Graney,Keepin' It Unreal,2006-10-03,0,248120,False,https://i.scdn.co/image/ab67616d0000b273abf76a9fc1c082634c119388,['australian alternative rock']
Los Pintores,La Charanga Rubalcaba,Los Pintores,La Charanga Rubalcaba,Con Sello De Calidad,2004,4,218000,False,https://i.scdn.co/image/ab67616d0000b273181b9b119d81ff6addbb0962,"['charanga', 'musica tradicional cubana']"
Doesn't Matter Where You Are ,Aleks Syntek,Doesn't Matter Where You Are (Intocable),Aleks Syntek,Leccion De Vuelo,2007-01-01,2,220478,False,https://i.scdn.co/image/ab67616d0000b2730fa19bf3842f0c221f322b12,"['latin arena pop', 'latin pop', 'mexican pop']"
Tule lähemmäs Beibi,Kaija Koo,"Tule lähemmäs Beibi 2018 (feat. Jenni Vartiainen, Vesala & SANNI)",Kaija Koo,"Tule lähemmäs Beibi 2018 (feat. Jenni Vartiainen, Vesala & SANNI)",2018-12-01,27,238124,False,https://i.scdn.co/image/ab67616d0000b2731b66f8ff07bfa0d8a453b505,"['classic iskelma', 'finnish dance pop', 'finnish pop', 'iskelma', 'suomi rock']"
Bye-Bye - Medley,Günter Noris,Bye-Bye - Medley,Günter Noris,Millennium-Tanzparty,1987-04-01,4,180933,False,https://i.scdn.co/image/ab67616d0000b27363bfa9699c193ab8089bca43,"['ballroom', 'easy listening']"
Locked Away,The Gathering,Locked Away,The Gathering,How to Measure a Planet? (Deluxe Edition),1999-07-13,15,203933,False,https://i.scdn.co/image/ab67616d0000b273d3e69822476fbd64e2e10c42,"['atmospheric doom', 'dutch metal', 'gothic metal', 'gothic symphonic metal', 'symphonic metal']"
Blue Satin ,Eddie Cano,Blue Satin,Eddie Cano,Cano Plays Mancini,1963,0,123666,False,https://i.scdn.co/image/ab67616d0000b2739943459be9df6d9d7d27c918,['space age pop']
Paper Tigers ,Tom Cochrane,Paper Tigers,Tom Cochrane,Ragged Ass Road,1995-01-01,13,235933,False,https://i.scdn.co/image/ab67616d0000b273a8bc6337c25e73d34749702a,"['canadian singer-songwriter', 'classic canadian rock', 'mellow gold']"
Let's Stop Talkin' About It,Janie Fricke,Let's Stop Talkin' About It,Janie Fricke,Janie Fricke - Super Hits,1980,8,197000,False,https://i.scdn.co/image/ab67616d0000b2733fe2721d76473af493a8c765,['classic country pop']
Child Of My Kingdom,Arthur Brown,Child Of My Kingdom,Arthur Brown,The Crazy World Of Arthur Brown,1968,6,422093,False,https://i.scdn.co/image/ab67616d0000b2731ee16372b177d23bf6c1f684,['psychedelic rock']
Ai Ni Bian Cheng Hen Ni,Kary Ng,愛你變成恨你,Kary Ng,With A Boy Like U,2006,32,208004,False,https://i.scdn.co/image/ab67616d0000b273db80edee6730259efd1e8afb,['cantopop']
The Homecoming Song ,Owsley,The Homecoming Song,Owsley,Owsley,1999-03-19,7,179640,False,https://i.scdn.co/image/ab67616d0000b273a487b45f676ed3cfe057f457,"['modern power pop', 'power pop', 'underground power pop']"
I Wish I Had A Girl,Henry Lee Summer,I Wish I Had a Girl,Henry Lee Summer,Henry Lee Summer,1988-03-08,34,264426,False,https://i.scdn.co/image/ab67616d0000b27306c5c8152f5c15287d590bf6,['heartland rock']
Sake In The Jar,Derek Bell,Sake In The Jar,Derek Bell,Tears Of Stone,1999-02-22,8,268333,False,https://i.scdn.co/image/ab67616d0000b27380859947572b14fbfed657cd,
Each Time ,Jackie Wilson,Each Time (I Love You More),Jackie Wilson,Lonely Teardrops,1959,8,141826,False,https://i.scdn.co/image/ab67616d0000b2738dc547bd19cc9f357f26a086,"['chicago soul', 'classic soul', 'quiet storm', 'rock-and-roll', 'soul']"
"Le Sacre du Printemps /Part One: The Adoration of the Earth - Introduction';""b'Igor Stravinsky;Columbia Symphony Orchestra'",,Le Sacre du Printemps (The Rite of Spring): Part One: The Adoration of the Earth - Introduction,Columbia Symphony Orchestra,Original Album Classics - Igor Stravinsky,1962,0,178320,False,https://i.scdn.co/image/ab67616d0000b2732ec0782e3faed8cb636ffbdf,['orchestra']
Broken Record,Donna The Buffalo,Broken Record,Donna The Buffalo,Silverlined,2008-01-01,8,197146,False,https://i.scdn.co/image/ab67616d0000b2735c8f43d118acbecaf79e5573,"['jam band', 'ny roots', 'progressive bluegrass']"
On The Fast Track,Gerald Veasley,On The Fast Track,Gerald Veasley,On The Fast Track,2001-06-26,2,235306,False,https://i.scdn.co/image/ab67616d0000b273d22a2fb70a9b6dc84a947f18,['electric bass']
Dave D. Blues  ,Mayday,Dave D. Blues (How To Make It Sting Like A Career),Mayday,Bushido Karaoke,2005-06-21,0,144400,False,https://i.scdn.co/image/ab67616d0000b27308e0c192b176f03d55dc2c4c,['omaha indie']
The Darker Side,Lizzy Borden,The Darker Side,Lizzy Borden,Appointment With Death,2008-07-22,3,381186,False,https://i.scdn.co/image/ab67616d0000b273a0ac8312fe626b77622956cf,"['glam metal', 'speed metal', 'us power metal']"
You Know What They Do To Guys Like Us In Prison ,My Chemical Romance,You Know What They Do to Guys Like Us in Prison,My Chemical Romance,Three Cheers for Sweet Revenge,2004-06-08,64,173733,True,https://i.scdn.co/image/ab67616d0000b273cab7ae4868e9f9ce6bdfdf43,"['emo', 'modern rock', 'pop punk', 'pov: indie', 'rock']"
Un jour aux courses: Who's That Man,The Marx Brothers,Un Jour Aux Courses: Who's That Man,The Marx Brothers,Ciné-Stars: The Marx Brothers,1993-01-02,0,433333,False,https://i.scdn.co/image/ab67616d0000b273463bcf52199bcc4e7fbb3165,
Zodiac,Laurie Berkner,Zodiac,The Laurie Berkner Band,Laurie Berkner's Favorite Classic Kids' Songs,2015-10-23,8,61000,False,https://i.scdn.co/image/ab67616d0000b27379ad7eb85f41e7a167e7eaba,"[""children's music"", 'kindie rock']"
Why Do We Do?,Eric Champion,Why Do We Do?,Eric Champion,Save The World,1992,0,310733,False,https://i.scdn.co/image/ab67616d0000b273ac01c5a35361a92780f9ab24,['deep christian rock']
Memphis Til' Monday,Bob Cheevers,Memphis Til' Monday,Bob Cheevers,Texas To Tennessee,2006-01-03,0,240226,False,https://i.scdn.co/image/ab67616d0000b27348b0567254947d99fe054edc,
My Baby Likes To Shuffle,Sonny Terry,My Baby Likes to Shuffle,Sonny Terry,Complete Recordings 1938-1945,2020-12-11,0,156360,False,https://i.scdn.co/image/ab67616d0000b2736774ec131bcb66a090a55344,"['acoustic blues', 'blues', 'country blues', 'harmonica blues', 'piedmont blues', 'traditional blues']"
Chere Duloone,Al Rapone,Chere Duloone,Al Rapone,Zydeco To Go,1990-06-15,0,185933,False,https://i.scdn.co/image/ab67616d0000b2732b0df3ddf16660181df05a83,
Sex Dance,H-Town,Sex Dance,H-Town,Imitations of Life,2015-12-07,5,289306,False,https://i.scdn.co/image/ab67616d0000b2736ef14b5313cdcb2cce9f9a63,"['boy band', 'contemporary r&b', 'new jack swing', 'r&b', 'urban contemporary']"
Searching,Mighty Diamonds,Searching,Mighty Diamonds,Rise Up,2001,0,218240,False,https://i.scdn.co/image/ab67616d0000b27354b3f7b1930185b53302d878,"['dub', 'lovers rock', 'reggae', 'roots reggae']"
Beneath an Evening Sky,Aisha Duo,Beneath an Evening Sky,Aisha Duo,Quiet Songs,2005,5,381400,False,https://i.scdn.co/image/ab67616d0000b273dad5efa9e9d226e8329eefd4,['mallet']
Juno,Sub Focus,Juno,Sub Focus,Frozen Solid / Juno,2005,6,320053,False,https://i.scdn.co/image/ab67616d0000b2739d380bfcf8537f37ef6fd5f7,"['dancefloor dnb', 'drum and bass', 'uk dance']"
Main Title [Bodies_ Rest & Motion] ,Michael Convertino,"Main Title (Bodies, Rest & Motion) - 2006 Remaster",Michael Convertino,"Bodies, Rest & Motion [Original Score]",1993,1,159160,False,https://i.scdn.co/image/ab67616d0000b273de77e1964e74521b7bae0b0c,
What's Wrong,Dead To Me,What's Wrong,Dead To Me,Little Brother,2008-10-28,12,105640,False,https://i.scdn.co/image/ab67616d0000b27357179ea43fb3f0bdea4ff924,"['orgcore', 'skate punk']"
Final Flash,Hatiras,Final Flash,Hatiras,Arrival,2006-05-09,0,177146,False,https://i.scdn.co/image/ab67616d0000b2735962d9f17aa45dfe83b22add,"[""jackin' house""]"
South,Bob Wills,South Of The Border (Down Mexico Way),Bob Wills,"Best Of Bob Wills, Volume 1",1967-01-01,30,137560,False,https://i.scdn.co/image/ab67616d0000b27327d279e43ca05982c99f65ec,"['cowboy western', 'traditional country', 'western swing']"
When the Broken Hearted Love Again,Danielle Bollinger,When The Broken Hearted Love Again - Chris Cox Radio Edit,Danielle Bollinger,When The Broken Hearted Love Again,2005-10-12,0,267960,False,https://i.scdn.co/image/ab67616d0000b27393cf81922b15a7f92b830576,
Harmonic Necklace,Penguin Café Orchestra,Harmonic Necklace - Remastered 2008,Penguin Cafe Orchestra,Penguin Café Orchestra,1981,30,73666,False,https://i.scdn.co/image/ab67616d0000b2738310950027c6c393fa371ac0,['compositional ambient']
Rockberry Jam,L.a. Dream Team,Rockberry Jam,L.A. Dream Team,Kings Of The West Coast,1986-01-01,30,316253,False,https://i.scdn.co/image/ab67616d0000b2737ba71b16a1e19a6c7484fe0d,"['electro', 'old school hip hop']"
Let's Get Sweaty,Modern Day Escape,Let's Get Sweaty,Modern Day Escape,House of Rats,2009,7,187066,False,https://i.scdn.co/image/ab67616d0000b2738967f576acffea31456d7871,['screamo']
La Muneca de Alcazar,Quadro Nuevo,La Muneca de Alcazar,Quadro Nuevo,Buongiorno Tristezza,2002-10-01,1,232866,False,https://i.scdn.co/image/ab67616d0000b27313348f0e22fe78c191daa8bc,['tango']
Mindless,Steve Porter,Mindless,Steve Porter,Sensor / Mindless,2000-03-20,0,511786,False,https://i.scdn.co/image/ab67616d0000b273ea34a3cd36577a4403ea8fe6,
Canela Pa'  Tu Boca,Los Del Rio,Canela Pa' Tu Boca,Los Del Rio,Alegria Y Cosabuena,2001-03-19,3,216800,False,https://i.scdn.co/image/ab67616d0000b273442314974e3d78b3e214cdb8,['tropical']
